Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Michelle A. Cameron (-Coulter),F,25,174,59,Canada,CAN,1988 Summer,1988,Summer,Seoul,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
Tracy Cameron,F,33,172,58,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,Bronze
Brett Camerota,M,25,167,59,United States,USA,2010 Winter,2010,Winter,Vancouver,Nordic Combined,Nordic Combined Men's Team,Silver
Werner Camichel,M,26,177,80,Switzerland-1,SUI,1972 Winter,1972,Winter,Sapporo,Bobsleigh,Bobsleigh Men's Four,Gold
Tullio Camillotti,M,26,175,98,Italy,ITA,1906 Summer,1906,Summer,Athina,Weightlifting,"Weightlifting Men's Unlimited, One Hand",Silver
Tiago Henrique de Oliveira Camilo,M,18,180,90,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Lightweight,Silver
Tiago Henrique de Oliveira Camilo,M,26,180,90,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Middleweight,Bronze
Roberto Cammarelle,M,24,190,101.5,Italy,ITA,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Super-Heavyweight,Bronze
Roberto Cammarelle,M,28,190,101.5,Italy,ITA,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Super-Heavyweight,Gold
Roberto Cammarelle,M,31,190,101.5,Italy,ITA,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Super-Heavyweight,Silver
"Alessandro ""Sandro"" Campagna",M,29,182,80,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Water Polo,Water Polo Men's Water Polo,Gold
Loris Campana,M,25,177,75,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Alan Campbell,M,29,191,96,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Single Sculls,Bronze
Bronte Campbell,F,22,179,58,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Cassie Dawin Campbell (-Pascall),F,24,170,66,Canada,CAN,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
Cassie Dawin Campbell (-Pascall),F,28,170,66,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Cassie Dawin Campbell (-Pascall),F,32,170,66,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Cate Natalie Campbell,F,16,186,67,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,Bronze
Cate Natalie Campbell,F,16,186,67,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Cate Natalie Campbell,F,20,186,67,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Cate Natalie Campbell,F,24,186,67,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Cate Natalie Campbell,F,24,186,67,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
"Christopher Lundy ""Chris"" Campbell",M,37,172,90,United States,USA,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
Darren Andrew Campbell,M,27,183,83,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,Silver
Darren Andrew Campbell,M,30,183,83,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Derrick Nathan Campbell,M,25,175,71,Canada,CAN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
"Eugene Edward ""Gene"" Campbell",M,23,182,77,United States,USA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
"Jeffrey Guy ""Jeff"" Campbell",M,25,193,94,United States,USA,1988 Summer,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,Silver
"Jodocus David ""Jody"" Campbell",M,24,190,89,United States,USA,1984 Summer,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Silver
"Jodocus David ""Jody"" Campbell",M,28,190,89,United States,USA,1988 Summer,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,Silver
"Milton Gray ""Milt"" Campbell",M,18,190,94,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Decathlon,Silver
"Milton Gray ""Milt"" Campbell",M,22,190,94,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Decathlon,Gold
George Peter Campbell,M,24,193,89,United States,USA,1984 Summer,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Silver
George Peter Campbell,M,28,193,89,United States,USA,1988 Summer,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,Silver
"Anthony Eugene ""Tonie"" Campbell",M,28,188,77,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,Bronze
Veronica Angella Campbell-Brown,F,18,168,58,Jamaica,JAM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Veronica Angella Campbell-Brown,F,22,168,58,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,Bronze
Veronica Angella Campbell-Brown,F,22,168,58,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 200 metres,Gold
Veronica Angella Campbell-Brown,F,22,168,58,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Veronica Angella Campbell-Brown,F,26,168,58,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 200 metres,Gold
Veronica Angella Campbell-Brown,F,30,168,58,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,Bronze
Veronica Angella Campbell-Brown,F,30,168,58,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Veronica Angella Campbell-Brown,F,34,168,58,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Alisa Peta Camplin (-Warner),F,27,157,49,Australia,AUS,2002 Winter,2002,Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Women's Aerials,Gold
Alisa Peta Camplin (-Warner),F,31,157,49,Australia,AUS,2006 Winter,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Women's Aerials,Bronze
Niccol Campriani,M,24,177,80,Italy,ITA,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver
Niccol Campriani,M,24,177,80,Italy,ITA,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
Niccol Campriani,M,28,177,80,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
Niccol Campriani,M,28,177,80,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
Eyp Can,M,19,165,51,Turkey,TUR,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Flyweight,Bronze
Fabian Cancellara,M,27,186,81,Switzerland,SUI,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",Silver
Fabian Cancellara,M,27,186,81,Switzerland,SUI,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Individual Time Trial,Gold
Fabian Cancellara,M,35,186,81,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Individual Time Trial,Gold
Philippe Christophe Luciene Candeloro,M,21,170,60,France,FRA,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Men's Singles,Bronze
Philippe Christophe Luciene Candeloro,M,25,170,60,France,FRA,1998 Winter,1998,Winter,Nagano,Figure Skating,Figure Skating Men's Singles,Bronze
Hans Candrian,M,29,178,93,Switzerland-1,SUI,1968 Winter,1968,Winter,Grenoble,Bobsleigh,Bobsleigh Men's Four,Bronze
Rafael Caizares Poey,M,22,180,82,Cuba,CUB,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Bronze
Ferrol Cannard,M,27,184,80,France,FRA,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
Luca Cantagalli,M,30,189,94,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Men's Volleyball,Silver
Ernesto Canto Gudio,M,24,170,60,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 20 kilometres Walk,Gold
Flvio Vianna de Ulha Canto,M,29,179,81,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Middleweight,Bronze
Christian Cantwell,M,27,193,154,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Shot Put,Silver
Cao Lei,F,24,168,75,China,CHN,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Heavyweight,Gold
Cao Mianying,F,29,176,71,China,CHN,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Double Sculls,Silver
Cao Yuan,M,17,160,42,China,CHN,2012 Summer,2012,Summer,London,Diving,Diving Men's Synchronized Platform,Gold
Cao Yuan,M,21,160,42,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Springboard,Gold
Cao Yuan,M,21,160,42,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,Bronze
Cao Zhongrong,M,30,180,73,China,CHN,2012 Summer,2012,Summer,London,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
Reto Capadrutt,M,19,175,55,Switzerland-2,SUI,1932 Winter,1932,Winter,Lake Placid,Bobsleigh,Bobsleigh Men's Two,Silver
Reto Capadrutt,M,23,175,55,Switzerland-1,SUI,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh Men's Four,Silver
Libor Capalini,M,31,174,64,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Joan Capdevila Mndez,M,22,182,78,Spain,ESP,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Silver
Christophe Capelle,M,28,184,73,France,FRA,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Nadine Capellmann (-Biffar-),F,35,166,51,Germany,GER,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Nadine Capellmann (-Biffar-),F,43,166,51,Elvis Va,GER,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Lee Capes (-Nobbs),F,26,170,60,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold
Michelle Edith Capes-Hager,F,21,167,62,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold
Vlado aplji,M,22,180,72,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Bronze
Federico Cappellazzo,M,23,175,70,Italy,ITA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Giulio Cappelli,M,25,174,72,Italy,ITA,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,Gold
Jennifer Marie Capriati,F,16,173,61,United States,USA,1992 Summer,1992,Summer,Barcelona,Tennis,Tennis Women's Singles,Gold
Corina Oana Cprioriu,F,26,161,57,Romania,ROU,2012 Summer,2012,Summer,London,Judo,Judo Women's Lightweight,Silver
Marta Capurso,F,25,155,55,Italy,ITA,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
Petre Capusta,M,23,171,77,Romania,ROU,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
Bruno Carabetta,M,22,172,72,France,FRA,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Lightweight,Bronze
Benot Pierre Caranobe,M,28,164,60,France,FRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Michael Carbajal,M,21,165,48,United States,USA,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Flyweight,Silver
Sally May Carbon (-Bell),F,21,165,59,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold
Lorenzo Carboncini,M,23,191,91,Italy,ITA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Silver
Ona Carbonell Ballestero,F,22,174,54,Spain,ESP,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Duet,Silver
Ona Carbonell Ballestero,F,22,174,54,Spain,ESP,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
"Patricia ""Patty"" Cardenas",F,23,170,73,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Silver
Jos Saturnino Cardozo Otaz,M,33,189,83,Paraguay,PAR,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Silver
"Hamilton ""Careca"" de Souza",M,19,170,67,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
Jacques Carette,M,25,176,63,France,FRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Mary Louise Carew (-Armstrong),F,18,157,45,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
"Richard John ""Rick"" Carey",M,21,183,82,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,Gold
"Richard John ""Rick"" Carey",M,21,183,82,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Backstroke,Gold
"Richard John ""Rick"" Carey",M,21,183,82,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
"Antnio Carlos ""Carlo"" Aguilar Gouveia",M,27,196,93,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
Gustaf Fredrik Carln,M,21,177,67,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's Cross-Country, Team",Gold
Per Arne Owe Carln,M,31,195,97,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Handball,Handball Men's Handball,Silver
Per Arne Owe Carln,M,35,195,97,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,Silver
Laura Gabriela Crlescu-Badea,F,22,168,56,Romania,ROU,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Team",Bronze
Laura Gabriela Crlescu-Badea,F,26,168,56,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Women's Foil, Individual",Gold
Laura Gabriela Crlescu-Badea,F,26,168,56,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Women's Foil, Team",Silver
Gillian Carleton,F,22,179,68,Canada,CAN,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Team Pursuit,Bronze
"Jazmin Roxy ""Jazz"" Carlin",F,25,175,57,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,Silver
"Jazmin Roxy ""Jazz"" Carlin",F,25,175,57,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 800 metres Freestyle,Silver
"Daniel Thomas ""Dan"" Carlisle",M,28,183,79,United States,USA,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Trap,Bronze
John Wesley Carlos,M,23,193,85,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 200 metres,Bronze
Agnete Synnve Carlsen,F,25,167,61,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Bronze
Aron Lars-Gran Carlsson,M,30,183,91,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Shooting,Shooting Mixed Skeet,Silver
Guy Albert Carlton,M,30,183,110,United States,USA,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Heavyweight II,Bronze
"William H. ""Bill"" Carlucci",M,29,178,73,United States,USA,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Malcolm James Carmichael,M,24,185,80,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxless Pairs,Bronze
Nelson Graham Carmichael,M,26,178,79,United States,USA,1992 Winter,1992,Winter,Albertville,Freestyle Skiing,Freestyle Skiing Men's Moguls,Bronze
Giovanni Carminucci,M,20,169,68,Italy,ITA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Giovanni Carminucci,M,20,169,68,Italy,ITA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Parallel Bars,Silver
Pasquale Carminucci,M,22,163,65,Italy,ITA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Team All-Around,Bronze
"Robert John ""Bob"" Carmody",M,26,158,51,United States,USA,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Flyweight,Bronze
Adriana Carmona Gutirrez,F,30,177,75,Venezuela,VEN,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Heavyweight,Bronze
Wlter Carmona,M,27,183,86,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Middleweight,Bronze
Olivia Frances Carnegie-Brown,F,25,181,73,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Silver
"Lester Nelson ""Les"" Carney",M,26,178,75,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 200 metres,Silver
Maurizio Carnino,M,18,184,83,Italy,ITA,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
Maurizio Carnino,M,26,184,83,Italy,ITA,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
"Carolina ""Carol"" Demartini de Albuquerque",F,31,182,76,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
"Christine ""Kiki"" Caron (-Garin)",F,16,172,66,France,FRA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Backstroke,Silver
Stphan Malcolm Caron,M,22,200,82,France,FRA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Freestyle,Bronze
Stphan Malcolm Caron,M,26,200,82,France,FRA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Freestyle,Bronze
Stefano Carozzo,M,29,193,82,Italy,ITA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Team",Bronze
Marissa Carpadios,F,26,164,72,Australia,AUS,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Silver
"Alexandra ""Alex"" Carpenter",F,19,170,70,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
Gordon C. Carpenter,M,28,200,100,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
"William Kenneth ""Ken"" Carpenter",M,23,190,102,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Discus Throw,Gold
Kip Carpenter,M,22,178,73,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,Speed Skating Men's 500 metres,Bronze
"Helen Constance ""Connie"" Carpenter-Phinney",F,27,178,59,United States,USA,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Women's Road Race, Individual",Gold
"William Arthur ""Bill"" Carr",M,22,172,66,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,Gold
"William Arthur ""Bill"" Carr",M,22,172,66,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
"Catherine L. ""Cathy"" Carr (-West)",F,18,170,52,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Breaststroke,Gold
"Catherine L. ""Cathy"" Carr (-West)",F,18,170,52,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Henry William Carr,M,21,191,84,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 200 metres,Gold
Henry William Carr,M,21,191,84,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
"Kenneth Alan ""Kenny"" Carr",M,20,200,102,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
"Nathaniel ""Nate"" Carr",M,28,165,68,United States,USA,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
Sabin William Carr,M,23,185,76,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Pole Vault,Gold
Cecilia Carranza Saroli,F,29,164,63,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Gold
Pieralberto Carrara,M,31,173,57,Italy,ITA,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 20 kilometres,Silver
Michel Robert Carrega,M,37,178,83,France,FRA,1972 Summer,1972,Summer,Munich,Shooting,Shooting Mixed Trap,Silver
Ricardo Luis Carreras,M,22,169,54,United States,USA,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Bantamweight,Bronze
Sara Maree Carrigan,F,23,168,60,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Women's Road Race, Individual",Gold
Gilberto Carrillo Quesada,M,21,188,81,Cuba,CUB,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Light-Heavyweight,Silver
Nancy Carrillo de la Paz,F,18,190,74,Cuba,CUB,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,Bronze
Lisa Carrington,F,23,168,63,New Zealand,NZL,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Gold
Lisa Carrington,F,27,168,63,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Gold
Lisa Carrington,F,27,168,63,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
Joel Carroll,M,25,184,89,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
Julian Paul Carroll,M,17,188,80,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Michael Carruth,M,25,173,59,Ireland,IRL,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Welterweight,Gold
"Caitlin A. ""Kitty"" Carruthers (-Conrad)",F,22,152,44,United States-1,USA,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Mixed Pairs,Silver
Peter W. Carruthers,M,24,180,70,United States-1,USA,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Mixed Pairs,Silver
Stuart Cameron Carruthers,M,26,176,75,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze
